,mushotel_type,is_canceled,booking_lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,weekend_stays,weekday_stays,wisymurfs,smurflings,number_of_babies,meal_type,smurfland,market_segment,booking_channel,smurfy_smurf,number_of_previous_cancellations,previous_bookings_not_canceled,requested_mushroom_type,allocated_mushroom_type,booking_changes,deposit_type,agent,moberry,days_in_waiting_list,customer_type,average_daily_rate,smurfberry_spaces_required,number_of_special_requests,smurvation_status_date,mushotel_location
42948,Village Mushotel,0,72,Wisdom Whirlwind,Goldenleaf,37,11,0.0,2.0,1.0,0.0,0.0,HB,LUX,Squads,TA/TO,0.0,0.0,0.0,A,D,1.0,No Deposit,30.0,,0.0,Swift-Party,98.0,0.0,0.0,"Wisdom Goldenleaf Whirlwind, 13",Smurfy Jungle
105540,Village Mushotel,0,5,Blissful Beams,Sparkleuary,6,7,0.0,4.0,1.0,0.0,0.0,BB,ROU,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,9.0,,0.0,Swift-Smurf,91.8,0.0,2.0,"Blissful Sparkleuary Beams, 11",Smurfy Jungle
9391,Smurfy Mushotel,1,7,Smurfy Passage,Hearthglen,48,23,0.0,1.0,1.0,0.0,0.0,BB,SMF,Corporate,Corporate,0.0,0.0,0.0,A,D,0.0,No Deposit,,112.0,0.0,Swift-Party,30.0,0.0,0.0,"Smurfy Hearthglen Passage, 17",Smurfy Jungle
26869,Smurfy Mushotel,0,36,Smurfy Passage,Harvestember,33,10,0.0,3.0,2.0,0.0,0.0,BB,SWE,Giggleline TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,240.0,,0.0,Swift-Smurf,229.0,0.0,1.0,"Smurfy Harvestember Passage, 13",Smurfy Jungle
61087,Village Mushotel,1,125,Smurfy Passage,Merrysnow,49,1,2.0,3.0,2.0,2.0,0.0,BB,SMF,Giggleline TA,TA/TO,0.0,0.0,0.0,F,F,0.0,No Deposit,7.0,,0.0,Swift-Smurf,132.67,0.0,0.0,"Smurfy Harvestember Passage, 02",Smurfy Jungle
85111,Village Mushotel,0,49,Smurfy Passage,Frostmarch,11,9,0.0,1.0,1.0,0.0,0.0,BB,COL,Giggleline TA,TA/TO,0.0,0.0,0.0,D,E,0.0,No Deposit,7.0,,0.0,Swift-Smurf,67.22,0.0,1.0,"Smurfy Frostmarch Passage, 10",Smurfy Jungle
62341,Village Mushotel,1,21,Blissful Beams,Blossommonth,2,9,1.0,5.0,2.0,0.0,0.0,SC,ITA,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,67.58,0.0,1.0,"Smurfy Merrysnow Passage, 23",Smurfy Jungle
68663,Village Mushotel,1,191,Blissful Beams,Rainboway,20,19,1.0,2.0,2.0,0.0,0.0,BB,WSD,Giggleline TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Swift-Smurf,138.6,0.0,0.0,"Smurfy Hearthglen Passage, 09",Smurfy Jungle
24503,Smurfy Mushotel,0,92,Smurfy Passage,Rainboway,21,17,2.0,5.0,2.0,0.0,0.0,BB,POL,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Swift-Smurf,58.0,0.0,1.0,"Smurfy Rainboway Passage, 24",Smurfy Jungle
89343,Village Mushotel,0,82,Smurfy Passage,Rainboway,21,17,0.0,3.0,3.0,0.0,0.0,BB,SMF,Giggleline TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Swift-Smurf,159.3,0.0,1.0,"Smurfy Rainboway Passage, 20",Smurfy Jungle
101637,Village Mushotel,0,20,Smurfy Passage,Hearthglen,46,12,2.0,1.0,2.0,0.0,0.0,BB,FRK,Smurfy Way,Smurfy Way,0.0,0.0,0.0,D,D,2.0,No Deposit,14.0,,0.0,Swift-Smurf,112.0,0.0,0.0,"Smurfy Hearthglen Passage, 15",Smurfy Jungle
47736,Village Mushotel,1,35,Smurfy Passage,Frostmarch,10,2,0.0,2.0,2.0,0.0,0.0,SC,FRK,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,73.1,0.0,0.0,"Smurfy Sparkleuary Passage, 09",Smurfy Jungle
89699,Village Mushotel,0,6,Smurfy Passage,Rainboway,22,23,1.0,1.0,2.0,0.0,0.0,BB,SMF,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,7.0,,0.0,Swift-Smurf,100.87,0.0,2.0,"Smurfy Rainboway Passage, 25",Smurfy Jungle
45202,Village Mushotel,0,49,Wisdom Whirlwind,Frostwisp,43,23,2.0,6.0,2.0,0.0,0.0,BB,MCN,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Leaf,94.5,0.0,1.0,"Wisdom Frostwisp Whirlwind, 31",Smurfy Jungle
23605,Smurfy Mushotel,0,92,Smurfy Passage,Sproutpril,18,29,2.0,6.0,2.0,0.0,0.0,BB,BEL,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Swift-Smurf,68.0,0.0,1.0,"Smurfy Rainboway Passage, 07",Smurfy Jungle
64454,Village Mushotel,1,260,Blissful Beams,Frostmarch,10,10,0.0,2.0,2.0,0.0,0.0,BB,MCN,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,90.0,0.0,0.0,"Smurfy Sunspark Passage, 26",Smurfy Jungle
106045,Village Mushotel,0,242,Blissful Beams,Sparkleuary,7,16,0.0,3.0,2.0,0.0,0.0,BB,WSD,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,9.0,,0.0,Swift-Smurf,99.2,0.0,0.0,"Blissful Sparkleuary Beams, 19",Smurfy Jungle
65893,Village Mushotel,1,55,Blissful Beams,Sproutpril,15,9,2.0,3.0,1.0,0.0,0.0,BB,USA,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,117.0,0.0,0.0,"Blissful Sproutpril Beams, 04",Smurfy Jungle
15281,Smurfy Mushotel,0,13,Blissful Beams,Blossommonth,4,24,0.0,2.0,1.0,0.0,0.0,BB,SMF,Corporate,Corporate,1.0,0.0,9.0,A,D,0.0,No Deposit,,338.0,0.0,Swift-Smurf,38.0,1.0,0.0,"Blissful Blossommonth Beams, 26",Smurfy Jungle
12807,Smurfy Mushotel,1,332,Blissful Beams,Smurfly,29,17,3.0,5.0,2.0,0.0,0.0,HB,MRA,Giggleline TA,TA/TO,0.0,0.0,0.0,D,D,2.0,No Deposit,240.0,,0.0,Swift-Smurf,219.5,0.0,0.0,"Blissful Frostmarch Beams, 16",Smurfy Jungle
40179,Village Mushotel,1,60,Wisdom Whirlwind,Smurfly,29,13,1.0,0.0,2.0,0.0,0.0,BB,SMF,Smurfy Way,Smurfy Way,0.0,0.0,0.0,A,A,0.0,No Deposit,14.0,,0.0,Swift-Smurf,76.5,0.0,0.0,"Wisdom Smurfly Whirlwind, 13",Smurfy Jungle
19252,Smurfy Mushotel,0,0,Smurfy Passage,Blossommonth,3,11,1.0,0.0,1.0,0.0,0.0,BB,SMF,Corporate,Corporate,1.0,0.0,1.0,D,D,0.0,No Deposit,,,0.0,Swift-Smurf,38.0,1.0,1.0,"Smurfy Blossommonth Passage, 12",Smurfy Jungle
37136,Smurfy Mushotel,0,17,Blissful Beams,Sunspark,23,4,2.0,2.0,2.0,0.0,0.0,BB,CN,Giggleline TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,241.0,,0.0,Swift-Smurf,126.0,0.0,1.0,"Blissful Sunspark Beams, 08",Smurfy Jungle
16448,Smurfy Mushotel,0,31,Wisdom Whirlwind,Harvestember,35,27,0.0,3.0,2.0,0.0,0.0,BB,MRA,Giggleline TA,TA/TO,0.0,0.0,0.0,D,H,0.0,No Deposit,240.0,,0.0,Swift-Smurf,185.0,1.0,2.0,"Wisdom Harvestember Whirlwind, 30",Smurfy Jungle
73591,Village Mushotel,1,66,Blissful Beams,Harvestember,35,27,1.0,0.0,1.0,0.0,0.0,SC,USA,Giggleline TA,GDS,0.0,0.0,0.0,A,A,0.0,No Deposit,195.0,,0.0,Swift-Smurf,130.0,0.0,0.0,"Blissful Sunspark Beams, 23",Smurfy Jungle
29291,Smurfy Mushotel,0,169,Smurfy Passage,Frostwisp,43,21,2.0,2.0,2.0,0.0,0.0,BB,IRL,Giggleline TA,TA/TO,0.0,0.0,0.0,D,D,2.0,No Deposit,240.0,,0.0,Swift-Smurf,63.5,0.0,1.0,"Smurfy Frostwisp Passage, 25",Smurfy Jungle
113954,Village Mushotel,0,94,Blissful Beams,Sunspark,24,11,2.0,2.0,2.0,0.0,0.0,BB,PHL,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,9.0,,0.0,Swift-Smurf,126.0,0.0,0.0,"Blissful Sunspark Beams, 15",Smurfy Jungle
67638,Village Mushotel,1,15,Blissful Beams,Rainboway,18,5,1.0,2.0,2.0,0.0,0.0,SC,FRK,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,150.0,0.0,1.0,"Blissful Sproutpril Beams, 25",Smurfy Jungle
116884,Village Mushotel,0,176,Blissful Beams,Smurfly,29,22,2.0,2.0,2.0,1.0,0.0,BB,WSD,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,148.5,0.0,2.0,"Blissful Smurfly Beams, 26",Smurfy Jungle
102629,Village Mushotel,0,30,Smurfy Passage,Hearthglen,49,29,0.0,4.0,2.0,0.0,0.0,SC,NLD,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,74.8,0.0,1.0,"Smurfy Merrysnow Passage, 03",Smurfy Jungle
65944,Village Mushotel,1,51,Blissful Beams,Sproutpril,15,10,1.0,3.0,2.0,0.0,0.0,SC,FRK,Giggleline TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Swift-Smurf,108.0,0.0,0.0,"Blissful Sparkleuary Beams, 23",Smurfy Jungle
0,AIFest23,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
1,AIFest23,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
2,AIFest23,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
3,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
4,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
5,AIFest23,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
6,AIFest23,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
7,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
8,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
9,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
10,ENSIA >>> ESI,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
11,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
12,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
13,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
14,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
15,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
16,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
17,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
18,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
19,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
20,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
21,AIFest23,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
22,ENSIA >>> ESI,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
23,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
24,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
25,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
26,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
27,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
28,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
29,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
30,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
31,ENSIA >>> ESI,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
32,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
33,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
34,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
35,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
36,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
37,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
38,ENSIA >>> ESI,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
39,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
40,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
41,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
42,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
43,ENSIA >>> ESI,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
44,AIFest23,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
45,ENSIA >>> ESI,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
46,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
47,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
48,ENSIA >>> ESI,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
49,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
50,AIFest23,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
51,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
52,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
53,AIFest23,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
54,ENSIA >>> ESI,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
55,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
56,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
57,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
58,AIFest23,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
59,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
60,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
61,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
62,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
63,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
64,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
65,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
66,ENSIA >>> ESI,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
67,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
68,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
69,AIFest23,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
70,AIFest23,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
71,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
72,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
73,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
74,AIFest23,1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
75,AIFest23,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
76,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
77,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
78,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
79,ENSIA >>> ESI,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
80,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
81,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
82,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
83,AIFest23,0,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
84,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
85,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
86,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
87,AIFest23,1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
88,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
89,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
90,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
91,ENSIA >>> ESI,0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
92,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,IntelliGenius THE BEST,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
93,AIFest23,1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
94,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
95,AIFest23,0,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,l7ouma
96,"Wach Raid, mrigale l challenge? ;)",1,1,Wisdom Whirlwind,Larbi Rak tatrichi,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy challenge yo yo yo
97,"Wach Raid, mrigale l challenge? ;)",0,1,Wisdom Whirlwind,Merrysnow,54,1,,,,,,,,,,,,,,,,,,,,Smurfy murfy,,,,,Smurfy GDSC
