id,satisfied,evaluation,projects,work_hours,total_time_spent,had_accident,still_working,got_promoted,department,salary_range
2007,0.84,0.55,"  Drug Design  ,Smurfs  ,Raid Dorms Cook",242,3,0,0,0,RandD,medium
2008,0.62,0.76,"  AiFest23  , SecCamp ,  Penalizing System,Salah lFrog,SecCamp ",198,3,0,0,0,sales,low
2009,0..86,0.55,"WebCamp,Salah lFrog,Penalizing System",269,2,0,0,0,management,low
2010,0.45,0.45,"  Penalizing System,Raid Dorms Cook",131,3,0,1,0,sales,low
2011,0.64,0.67,"AiFest23,  AiFest23  ,Drug Design,SecCamp ",252,3,1,0,0,sales,medium
2012,0.74,1.0,"Salah lFrog, SecCamp ,  Penalizing System,Farmy,Raid Dorms Cook",248,5,0,1,0,support,medium
2013,0.82,0.84,"Smurfs  ,Drug Design,Farmy",139,2,1,0,0,sales,low
2014,,0.59,"AiFest23,SecCamp ,Farmy,  Drug Design  ",244,3,0,0,0,support,medium
2015,,0.73,"SecCamp ,WebCamp, SecCamp ",201,10,0,0,0,management,high
2016,0.09,0.83,"  Penalizing System,Salah lFrog,WebCamp,Drug Design,AiFest23,Smurfs  ,  Drug Design  ",258,4,0,1,0,product_mng,low
2017,0.88,0.61,"Raid Dorms Cook,  Drug Design  ,  AiFest23  ",236,3,0,0,0,hr,medium
2018,,0.67,"Raid Dorms Cook,Smurfs,Penalizing System",143,6,0,0,0,sales,medium
2019,,0.5,"SecCamp ,Penalizing System",139,3,0,1,0,hr,medium
2020,0.94,0.68,"  AiFest23  ,  Drug Design  ,AiFest23, SecCamp ,Smurfs  ",151,2,0,0,0,RandD,medium
2021,0.31,0.79,"Salah lFrog,  Drug Design  ",193,4,0,0,0,support,low
2022,0.54,0.91,"AiFest23,WebCamp,Farmy",249,3,0,0,0,technical,high
2023,0.73,0.62," SecCamp ,Penalizing System,Farmy",218,3,0,0,0,accounting,medium
2024,0.42,0.85,"Smurfs,Farmy,Salah lFrog",150,3,0,0,0,sales,low
2025,,0.51,"Drug Design,Salah lFrog,Penalizing System,SecCamp ",233,3,0,0,0,sales,low
2026,0.99,0.6,"Farmy,Penalizing System,Drug Design,Smurfs",209,8,1,0,0,IT,medium
2027,,0.56,"Smurfs,Penalizing System,Drug Design,Raid Dorms Cook,WebCamp",181,6,0,0,0,accounting,medium
2028,0.72,0.71,"Salah lFrog,AiFest23,SecCamp ",242,2,0,0,0,technical,medium
2029,0.97,0.57," SecCamp ,Raid Dorms Cook,  AiFest23  ",144,3,0,0,0,marketing,low
2030,0.65,0.64,"Raid Dorms Cook,Smurfs  ,SecCamp ",223,4,0,0,0,sales,low
2031,0.77,0.59,"AiFest23,  AiFest23  ,SecCamp ,Drug Design",153,3,0,0,0,sales,medium
2032,0.65,0.86,"Salah lFrog,Raid Dorms Cook, SecCamp ,  AiFest23  ",264,2,1,0,0,hr,low
2033,0.6,0.6,"Farmy, SecCamp ,  Drug Design  ,Smurfs",182,3,0,0,0,support,medium
2034,0.66,0.82,"  Drug Design  ,Farmy,Smurfs  ,  Penalizing System",257,3,1,0,0,sales,medium
2035,0.8,0.96,"  Drug Design  ,Raid Dorms Cook,Smurfs",257,5,0,0,0,support,medium
2036,0.93,0.48,"AiFest23,  Drug Design  ,Smurfs",276,3,0,0,0,IT,low
2037,,0.73,"Smurfs, SecCamp ,Penalizing System,  AiFest23  ",257,10,1,0,0,sales,medium
2038,0.74,0.71,"Penalizing System, SecCamp ,Smurfs  ,  Penalizing System",243,3,0,0,0,technical,medium
2039,0.43,0.65,"  Penalizing System,AiFest23,Farmy,Penalizing System",124,2,0,0,0,sales,medium
2040,0.63,0.87,"  Drug Design  , SecCamp ,AiFest23,Drug Design",145,3,1,0,0,support,high
2041,0.94,0.73," SecCamp ,Farmy,SecCamp ",196,3,0,0,0,hr,medium
2042,0.84,0.93,"Penalizing System,SecCamp ,Raid Dorms Cook,AiFest23, SecCamp ",236,5,0,1,0,support,medium
2043,0.89,0.91,"SecCamp ,  Drug Design  ,WebCamp",233,2,0,0,0,IT,medium
2044,0.7,0.48,"Raid Dorms Cook,Smurfs  ,Smurfs,AiFest23",229,2,0,0,0,technical,high
2045,0.82,0.71," SecCamp ,  Drug Design  ,WebCamp,  Penalizing System,AiFest23",208,2,0,0,0,management,low
2046,0.4,0.54,"Raid Dorms Cook,  Penalizing System",139,3,0,1,0,marketing,low
2047,0.39,0.78,"Drug Design,AiFest23",205,6,1,0,0,sales,low
2048,0.62,0.49,"WebCamp,Drug Design,Raid Dorms Cook,Farmy",174,3,0,0,0,technical,low
2049,0.57,0.67,"SecCamp ,Smurfs,AiFest23,Farmy,Penalizing System",235,2,0,0,0,product_mng,low
2050,0.16,0.61,"Smurfs,Raid Dorms Cook,Smurfs  ,SecCamp ",171,6,0,0,0,IT,medium
2051,0.78,0.87,"Smurfs,Penalizing System,  AiFest23  , SecCamp ,WebCamp",256,5,0,1,0,support,medium
2052,0.38,0.46,"Smurfs  ,Smurfs",155,3,0,1,0,sales,low
2053,0.44,0.55,"Raid Dorms Cook, SecCamp ",156,3,0,1,0,hr,medium
2054,0....95,0.55,"Drug Design,Salah lFrog,SecCamp ,Smurfs,Penalizing System",134,3,0,0,0,IT,medium
2055,,0.84,"Salah lFrog,Farmy,Penalizing System,Raid Dorms Cook",206,2,0,0,0,sales,medium
2056,0.5,0.75,"Salah lFrog,Raid Dorms Cook,AiFest23,Penalizing System,Farmy,Smurfs",127,3,0,0,0,sales,low
2057,0..89,0.86,"Drug Design,Farmy,  Penalizing System",178,4,0,0,0,sales,medium
2058,0.11,0.87," SecCamp ,Salah lFrog,Drug Design,  Drug Design  ,Smurfs,AiFest23,SecCamp ",278,4,0,1,0,sales,low
2059,0.84,0.76,"  Penalizing System,Smurfs  ,  Drug Design  , SecCamp ,Salah lFrog",172,5,1,0,0,technical,medium
2060,0.2,0.48,"Farmy,Drug Design,Salah lFrog,  AiFest23  ",156,4,1,0,0,sales,medium
2061,0.62,0.64," SecCamp ,  Drug Design  ,Drug Design",165,3,0,0,0,IT,high
2062,0.61,0.77," SecCamp ,Farmy,Drug Design,WebCamp,SecCamp ",232,7,0,0,0,sales,medium
2063,,0.81,"Penalizing System,  Penalizing System, SecCamp ,Drug Design,  Drug Design  ,Farmy",309,4,0,1,0,technical,low
2064,0.98,0.89,"  AiFest23  ,Penalizing System,WebCamp,AiFest23",218,2,0,0,0,sales,medium
2065,0.5,0.52,"Raid Dorms Cook,WebCamp",178,2,0,0,0,support,medium
2066,0.42,0.8,"Drug Design,Penalizing System,  Penalizing System,  AiFest23  ",259,7,1,0,0,sales,medium
2067,,0.98,"Penalizing System,  Penalizing System,SecCamp ,Farmy",199,2,0,0,0,technical,low
2068,0.21,0.39,"Salah lFrog,Smurfs",118,4,0,0,0,sales,medium
2069,0.11,0.83,"Penalizing System,  AiFest23  ,  Drug Design  ,Drug Design,AiFest23,  Penalizing System",244,4,0,1,0,accounting,low
2070,0.14,0.76,"Penalizing System,  AiFest23  ,Farmy,SecCamp , SecCamp ",260,6,0,0,0,technical,high
2071,0.57,0.56,"Raid Dorms Cook,  Penalizing System,AiFest23",241,3,0,0,0,technical,high
2072,0.98,0.56,"Farmy,Salah lFrog,Raid Dorms Cook",139,2,1,0,0,support,low
2073,0.78,0.86," SecCamp ,Smurfs,Smurfs  ,Raid Dorms Cook,  Penalizing System",256,5,0,1,0,sales,medium
2074,0.88,0.53,"Drug Design,Smurfs,Penalizing System",188,3,0,0,0,technical,low
2075,0..11,0.85,"AiFest23,Smurfs,  Drug Design  ,SecCamp ,Salah lFrog,Drug Design",295,4,0,1,0,technical,low
2076,0.1,0.85,"AiFest23,Penalizing System,Raid Dorms Cook,Smurfs,Farmy,Smurfs  ",260,4,0,1,0,sales,low
2077,0.93,0.82,"AiFest23,Smurfs  ,Salah lFrog,  AiFest23  ",175,3,0,0,0,IT,low
2078,0.17,0.56,"WebCamp,Drug Design,Raid Dorms Cook,Smurfs,Smurfs  ",218,4,1,0,0,support,medium
2079,0.81,0.92," SecCamp ,AiFest23,  Drug Design  ,Raid Dorms Cook,Drug Design",258,3,0,0,1,sales,medium
2080,0.81,0.8,"Drug Design,SecCamp ,Penalizing System, SecCamp ,Farmy",132,2,1,0,0,management,high
2081,0.59,0.73,"  Drug Design  ,Raid Dorms Cook",230,3,0,0,0,technical,low
2082,,0.51,"Smurfs  ,Drug Design",144,3,0,1,0,accounting,low
2083,0.48,0.5,"  Drug Design  , SecCamp ,Farmy,AiFest23,SecCamp ,  AiFest23  ",253,4,0,0,0,technical,high
2084,0.91,0.49," SecCamp ,Drug Design,AiFest23,Smurfs  ,  Drug Design  ,  Penalizing System",272,6,0,0,0,sales,low
2085,0.89,0.98,"  AiFest23  ,Farmy,SecCamp ",220,3,0,0,0,accounting,low
2086,0.95,0.73,"  Drug Design  ,Farmy,Drug Design,  AiFest23  ",238,3,1,0,0,IT,low
2087,0.43,0.56,"WebCamp,Smurfs",157,3,0,1,0,sales,low
2088,0.96,0.68,"WebCamp,Smurfs  ,Farmy,Penalizing System, SecCamp ",145,3,1,0,0,sales,medium
2089,0.59,0.47,"  Penalizing System,Penalizing System,Smurfs  ",159,4,0,0,0,product_mng,low
2090,0.74,0.7,"Raid Dorms Cook,Farmy,Smurfs,WebCamp",260,2,0,0,0,support,low
2091,0.52,0.94,"Smurfs  ,Salah lFrog,  Penalizing System",263,3,0,0,0,product_mng,medium
2092,0.38,0.5,"Penalizing System,WebCamp",140,3,0,1,0,sales,medium
2093,0.42,0.53,"Raid Dorms Cook,Salah lFrog,WebCamp",199,4,0,1,0,technical,medium
2094,0.38,0.51,"AiFest23,Smurfs",146,3,0,1,0,IT,medium
2095,0.93,0.98," SecCamp ,AiFest23,  AiFest23  ",241,3,0,0,0,IT,medium
2096,0.92,0.55,"Farmy, SecCamp ,Smurfs,AiFest23",220,2,0,0,0,sales,medium
2097,0.82,0.67,"Farmy,WebCamp,Salah lFrog,SecCamp ",156,3,0,0,0,product_mng,low
2098,0.74,0.76,"AiFest23,Penalizing System,SecCamp ,Farmy,Smurfs  ",255,4,0,0,0,sales,medium
2099,0................1,0.8,"  Drug Design  ,Smurfs  ,AiFest23,Penalizing System,Salah lFrog,  Penalizing System,Smurfs",292,5,0,1,0,IT,low
2100,0.18,0.94,"  Penalizing System,AiFest23,  AiFest23  ",187,6,1,0,0,product_mng,low
2101,0.95,0.9,"Drug Design,Penalizing System,AiFest23,Smurfs",221,10,1,0,0,management,high
2102,,0.74,"Raid Dorms Cook,  Penalizing System,SecCamp ,WebCamp",224,5,0,0,0,sales,low
2103,0.74,0.69,"Drug Design,Farmy,SecCamp ,Smurfs  ",244,2,0,0,0,sales,low
2104,0.82,0.86,"Smurfs,  Drug Design  ,SecCamp ,Drug Design,Penalizing System",257,5,0,1,0,sales,low
2105,0.89,0.57,"  Drug Design  ,SecCamp ,Farmy",113,3,0,0,0,technical,low
2106,0.62,0.49,"Drug Design,Penalizing System,  AiFest23  ",158,2,0,0,0,sales,low
2107,0.51,0.85,"  Drug Design  ,  Penalizing System,Raid Dorms Cook,Smurfs  ",186,2,0,0,0,product_mng,low
2108,0.14,0.76,"  Drug Design  ,Salah lFrog,WebCamp,Smurfs  ",142,10,0,0,0,management,high
2109,0.74,0.89,"Drug Design,WebCamp, SecCamp ,Smurfs",267,5,0,1,0,sales,medium
2110,0.42,0.46,"Smurfs,Farmy",131,3,0,1,0,support,medium
2111,0.74,0.6,"SecCamp ,Drug Design,Smurfs",153,2,0,0,0,technical,low
2112,0.66,0.48,"Salah lFrog,  Penalizing System,SecCamp , SecCamp ",229,4,0,0,0,sales,medium
2113,0.94,0.52,"Salah lFrog,  Drug Design  ,  Penalizing System,AiFest23,WebCamp",133,3,0,0,0,support,low
2114,0.43,0.49,"Smurfs,Farmy",135,3,0,1,0,accounting,medium
2115,0.93,0.94,"Farmy,  Penalizing System,  Drug Design  ,SecCamp ",188,3,0,0,0,support,medium
2116,0.56,0.39,"Raid Dorms Cook,Salah lFrog,  AiFest23  ,Smurfs  ,Farmy",263,4,0,0,0,marketing,medium
2117,0.74,0.64,"Drug Design,WebCamp,Penalizing System",136,2,0,0,0,IT,medium
2118,0.66,0.7,"Smurfs,AiFest23,WebCamp,Raid Dorms Cook,  Drug Design  ",254,2,0,0,0,IT,medium
2119,0.61,0.5,"  AiFest23  ,Farmy,Smurfs  ,Salah lFrog",216,2,0,0,0,technical,low
2120,0.87,0.93,"Farmy,Drug Design,  Penalizing System",173,2,0,0,0,support,low
2121,0.72,0.86,"WebCamp,  AiFest23  ,Smurfs,SecCamp ,AiFest23",251,5,0,1,0,sales,low
2122,0.68,0.46,"Farmy,  AiFest23  ,  Penalizing System,Penalizing System",143,3,0,0,0,sales,low
2123,0................4,0.46,"Farmy,Smurfs  ",130,3,0,1,0,sales,low
2124,0.16,0.82,"  AiFest23  ,Salah lFrog,Raid Dorms Cook,SecCamp ,Drug Design,AiFest23",202,4,1,0,1,sales,medium
2125,0.69,0.97,"SecCamp ,Smurfs,  AiFest23  ,Drug Design",264,3,0,0,0,technical,low
2126,0.42,0.52,"WebCamp,Smurfs",134,3,0,1,0,sales,low
2127,0.85,0.82,"WebCamp,Raid Dorms Cook,  Penalizing System,Drug Design,  Drug Design  ",184,3,0,0,0,sales,medium
2128,0.49,1.0,"WebCamp,AiFest23",125,4,1,0,0,sales,low
2129,0.91,0.97,"  Penalizing System,Smurfs,  Drug Design  ,SecCamp ,Penalizing System",233,5,0,1,0,hr,medium
2130,0.42,0.48,"Raid Dorms Cook, SecCamp ",143,3,0,1,0,sales,low
2131,,0.86,"Raid Dorms Cook, SecCamp ,Smurfs",166,2,0,0,0,support,low
2132,0.84,0.5,"Smurfs,WebCamp,  Penalizing System,  Drug Design  ,Drug Design",267,2,0,0,0,technical,low
2133,0.71,0.69,"Penalizing System,AiFest23,Smurfs,Smurfs  ",222,4,0,0,0,sales,medium
2134,0.56,0.76,"Smurfs  ,Farmy,Smurfs",213,2,1,0,0,product_mng,medium
2135,0.68,0.7,"Farmy,  Drug Design  ,Smurfs  ,Salah lFrog,  Penalizing System",270,3,0,0,0,product_mng,medium
2136,0.69,0.85," SecCamp ,  Penalizing System,Smurfs,Farmy,SecCamp ",246,3,0,0,0,IT,medium
2137,,0.83,"Raid Dorms Cook,Salah lFrog, SecCamp ",240,3,1,0,0,product_mng,medium
2138,0.67,0.6,"Farmy,  Penalizing System,Raid Dorms Cook, SecCamp ",209,2,0,0,0,technical,low
2139,0.47,0.46,"WebCamp,Salah lFrog",152,2,0,0,0,IT,medium
2140,0.73,0.93,"Drug Design,SecCamp ,Smurfs",205,3,0,0,0,product_mng,high
2141,0.9,0.64,"Raid Dorms Cook,Penalizing System,  AiFest23  ",163,3,0,0,0,IT,medium
2142,,0.98,"WebCamp,  Drug Design  ,Smurfs,  Penalizing System, SecCamp ",248,5,0,1,0,product_mng,medium
2143,0.58,0.75,"WebCamp,Farmy,  Drug Design  ,Penalizing System",186,2,0,0,0,product_mng,low
2144,0.37,0.48,"  Penalizing System,  AiFest23  ",129,3,0,1,0,IT,medium
2145,0.51,0.62,"Salah lFrog,SecCamp ,  AiFest23  ",110,3,0,0,0,support,low
2146,0.83,0.94,"  Penalizing System,AiFest23,Salah lFrog,WebCamp",264,5,0,1,0,sales,low
2147,0................76,0.67," SecCamp ,AiFest23,Penalizing System,  Penalizing System,  AiFest23  ",243,3,0,0,0,sales,low
2148,0.27,0.66,"AiFest23,Drug Design,Smurfs",133,6,0,0,0,sales,low
2149,0.61,0.73,"SecCamp ,  AiFest23  ,Farmy",165,3,1,0,0,IT,low
2150,0.39,0.51," SecCamp ,Drug Design",155,3,0,1,0,management,low
2151,1.0,0.86,"WebCamp,Salah lFrog,Smurfs  ,Farmy",245,4,0,0,0,sales,medium
2152,,0.9,"Penalizing System,  Penalizing System,Salah lFrog,Raid Dorms Cook",263,5,0,1,0,support,low
2153,,0.65," SecCamp ,Smurfs,Smurfs  ",235,10,0,0,0,technical,low
2154,0.1,0.88,"Salah lFrog,  Penalizing System,  Drug Design  ,SecCamp ,Smurfs,AiFest23",284,4,0,1,0,sales,low
2155,0.91,0.53,"Penalizing System,SecCamp ",273,3,0,0,0,support,low
2156,0.66,0.67,"SecCamp ,WebCamp",255,3,0,1,0,technical,low
2157,0.78,0.68,"AiFest23,  Drug Design  ,Salah lFrog, SecCamp ,WebCamp",189,3,0,0,0,sales,medium
2158,0.5,0.77,"Smurfs  ,Smurfs,Salah lFrog",265,3,0,0,0,IT,medium
2159,0.49,0.89,"  Penalizing System,Smurfs  ,  Drug Design  ,Drug Design",240,2,0,0,0,RandD,medium
2160,0.11,0.97,"AiFest23,Salah lFrog,  Drug Design  ,Penalizing System,WebCamp,Smurfs",289,5,0,1,0,support,medium
2161,0.99,0.98,"Farmy,Drug Design, SecCamp ,Smurfs  ",169,3,1,0,0,technical,low
2162,0.73,0.69,"Raid Dorms Cook,Farmy,WebCamp,Smurfs,  Penalizing System,  AiFest23  ",273,4,1,0,0,marketing,medium
2163,0.7,0.88,"AiFest23,  Drug Design  ,Penalizing System,Raid Dorms Cook",180,2,0,0,0,support,medium
2164,0.79,0.68,"SecCamp ,  Penalizing System,Raid Dorms Cook,Farmy,Salah lFrog",272,3,0,0,0,support,medium
2165,0.97,0.94,"Penalizing System,  AiFest23  ,Smurfs  ,AiFest23",253,3,0,0,0,support,medium
2166,0..79,0.87,"AiFest23,Farmy,Raid Dorms Cook,Drug Design",223,5,0,0,0,sales,medium
2167,0.45,0.54," SecCamp ,Penalizing System",129,3,0,1,0,marketing,high
2168,0.85,0.51,"Raid Dorms Cook,SecCamp ,Drug Design",153,4,0,0,0,technical,medium
2169,0.88,0.76,"Smurfs,Salah lFrog,  Penalizing System",223,3,0,0,0,sales,medium
2170,0.38,0.45,"Raid Dorms Cook,WebCamp",156,3,0,1,0,sales,medium
2171,0.92,0.67,"Smurfs  ,AiFest23",252,2,0,0,0,sales,low
2172,0.65,0.79,"  AiFest23  ,Salah lFrog,  Penalizing System",201,3,1,0,0,sales,high
2173,0.83,0.5," SecCamp ,Smurfs,Raid Dorms Cook,  AiFest23  ,Drug Design,SecCamp ",165,3,0,0,0,management,medium
2174,0..66,0.93,"Farmy,Penalizing System,WebCamp,AiFest23,  Drug Design  ",253,5,0,1,0,product_mng,low
2175,,0.93,"SecCamp ,Penalizing System,AiFest23,Smurfs,WebCamp",158,4,0,0,0,sales,medium
2176,0.78,0.82," SecCamp ,Salah lFrog,Smurfs  ,  Penalizing System,Penalizing System",247,3,0,0,0,sales,low
2177,0.94,0.82,"  Penalizing System,Raid Dorms Cook,Drug Design",187,3,0,0,0,sales,low
2178,0.92,0.84,"Raid Dorms Cook,AiFest23,  AiFest23  ,Smurfs",159,3,0,0,0,technical,low
2179,0.67,0.82,"  Drug Design  , SecCamp ,  Penalizing System,AiFest23",171,2,0,0,0,sales,medium
2180,0.73,0.72,"Raid Dorms Cook,Farmy,Smurfs",166,3,0,0,0,technical,medium
2181,0.98,0.64," SecCamp ,Penalizing System,Smurfs",263,4,0,0,0,accounting,medium
2182,0.57,0.54,"  Penalizing System,WebCamp,SecCamp ",157,4,1,0,0,sales,high
2183,0.52,0.86,"Smurfs,Salah lFrog, SecCamp ,  Drug Design  ,SecCamp ",168,3,0,0,0,RandD,medium
2184,0.8,0.99,"Raid Dorms Cook,  Penalizing System,Farmy,Penalizing System,Salah lFrog,  AiFest23  ",178,5,0,0,0,RandD,low
2185,0.4,0.73,"  AiFest23  ,Drug Design,Smurfs  ,Raid Dorms Cook",146,3,0,0,0,support,low
2186,0.38,0.52,"Penalizing System, SecCamp ",154,3,0,1,0,sales,medium
2187,0.25,0.72,"  Penalizing System,Salah lFrog,  AiFest23  ,Drug Design,Smurfs  ",279,8,0,0,0,marketing,low
2188,0.62,0.55,"Raid Dorms Cook,Smurfs,Salah lFrog,AiFest23",137,3,1,0,0,hr,medium
2189,0.13,0.93,"Farmy, SecCamp ,Salah lFrog,Raid Dorms Cook",253,5,1,0,0,product_mng,low
2190,,0.47,"SecCamp ,Farmy,  Penalizing System,Drug Design",146,3,1,0,0,sales,medium
2191,0.88,0.83,"  Drug Design  ,WebCamp,AiFest23,Salah lFrog",163,3,0,0,0,hr,low
2192,0.62,0.5,"Smurfs,Penalizing System,WebCamp,Drug Design",198,3,1,0,0,technical,low
2193,0.59,0.65,"WebCamp, SecCamp ,  AiFest23  ,  Penalizing System",163,3,1,0,0,RandD,low
2194,0.28,0.92,"Smurfs  ,SecCamp ,  Penalizing System",151,3,0,0,0,sales,low
2195,0.84,0.94," SecCamp ,Raid Dorms Cook,Farmy,Smurfs  ,SecCamp ",222,6,0,1,0,product_mng,low
2196,,0.69,"SecCamp ,Penalizing System,Farmy, SecCamp ,AiFest23,Raid Dorms Cook",138,5,0,0,0,marketing,medium
2197,0.95,0.88,"WebCamp,Drug Design,  Penalizing System",199,3,0,0,0,IT,medium
2198,0.64,0.52,"WebCamp,  AiFest23  ,Smurfs",240,3,0,0,0,marketing,medium
2199,,0.64,"Smurfs  ,Raid Dorms Cook,Drug Design",184,5,0,0,0,RandD,high
2200,0.09,0.81,"  Penalizing System,Salah lFrog,Farmy,Smurfs  ,AiFest23,WebCamp",257,4,0,1,0,support,low
2201,0.77,0.9,"Raid Dorms Cook,AiFest23,Salah lFrog,  AiFest23  ",104,5,0,0,0,product_mng,low
2202,0.55,0.64,"Salah lFrog,AiFest23,Farmy,Raid Dorms Cook,Drug Design,Smurfs  ",148,4,0,0,0,support,low
2203,0.63,0.94,"  Penalizing System,Drug Design,Salah lFrog",179,2,0,1,0,support,medium
2204,0.15,0.6,"  Drug Design  ,Farmy,AiFest23,Smurfs,Smurfs  ",188,7,0,0,0,sales,medium
2205,0.5,0.85,"  Penalizing System,Drug Design,Smurfs  , SecCamp ",138,3,0,1,0,accounting,medium
2206,0.94,0.71,"Farmy,SecCamp ,Penalizing System,Smurfs  ",189,3,0,0,0,support,medium
2207,0.45,0.52,"  AiFest23  ,AiFest23",147,3,0,1,0,technical,low
2208,0.24,0.55,"SecCamp ,Smurfs,  AiFest23  ,WebCamp,  Drug Design  , SecCamp ",231,4,0,0,0,sales,low
2209,0.57,1.0,"  Penalizing System,Salah lFrog,Smurfs",241,4,0,0,0,technical,low
2210,0.65,0.55,"Salah lFrog,Farmy, SecCamp ",156,5,0,0,0,marketing,low
2211,0.56,0.63,"  Penalizing System,Smurfs  ,Farmy",145,2,0,0,0,sales,high
2212,0.42,0.96,"WebCamp,SecCamp ,Raid Dorms Cook",270,6,0,0,0,support,low
2213,0.15,0.52,"  AiFest23  ,Salah lFrog,  Drug Design  ,AiFest23",207,4,0,0,0,product_mng,medium
2214,0.75,0.51,"Smurfs  ,Raid Dorms Cook",215,2,1,0,0,sales,low
2215,0.42,0.74,"Farmy,Salah lFrog,  Drug Design  ,Smurfs,WebCamp",256,6,0,0,0,management,medium
2216,0.67,0.61,"Raid Dorms Cook,WebCamp,Drug Design",251,2,0,0,0,marketing,low
2217,0.78,0.9,"SecCamp ,Drug Design,Penalizing System, SecCamp ",104,4,0,0,0,RandD,low
2218,0.83,0.6,"SecCamp ,Penalizing System,  AiFest23  ,AiFest23",170,3,0,0,0,RandD,low
2219,0.45,0.57,"Salah lFrog,  Drug Design  ",148,3,0,1,0,marketing,high
2220,,0.49,"  AiFest23  ,WebCamp,AiFest23",208,3,0,0,0,support,low
2221,0.9,0.93,"Smurfs, SecCamp ,Farmy",209,3,0,0,0,product_mng,medium
2222,0.72,0.98,"Farmy,Drug Design,  Drug Design  ,SecCamp ",156,3,0,0,0,product_mng,medium
2223,0.43,0.5,"AiFest23,Raid Dorms Cook",137,3,0,1,0,support,medium
2224,0.58,0.91,"AiFest23,Raid Dorms Cook,Smurfs",223,2,0,0,0,technical,low
2225,0.11,0.93,"WebCamp,Smurfs  ,Raid Dorms Cook,Smurfs,AiFest23,Penalizing System,  Penalizing System",296,4,0,1,0,RandD,low
2226,0.72,0.5,"WebCamp,  Penalizing System,Farmy,SecCamp ",245,3,0,0,0,support,medium
2227,0.49,0.62,"  Penalizing System,Raid Dorms Cook,WebCamp,Penalizing System",161,2,0,0,0,IT,medium
2228,0.1,0.93," SecCamp ,AiFest23,  Penalizing System,Smurfs,Salah lFrog,  Drug Design  ",307,4,0,1,0,sales,low
2229,0.1,0.95,"SecCamp ,  Drug Design  ,Drug Design,Raid Dorms Cook,  Penalizing System,Smurfs",264,5,0,1,0,RandD,medium
2230,0.99,0.89,"Smurfs,WebCamp, SecCamp ",273,2,0,0,0,sales,medium
2231,0.74,0.58,"Smurfs  ,  Penalizing System,WebCamp",241,3,0,0,0,support,low
2232,0.25,0.65,"  Drug Design  ,Smurfs,Raid Dorms Cook,Penalizing System,Drug Design",220,3,0,0,0,sales,low
2233,0.47,0.44,"Smurfs,  Drug Design  ,  Penalizing System,WebCamp,Farmy",255,5,1,0,0,support,low
2234,0.09,0.93,"SecCamp ,Farmy,AiFest23,  Penalizing System,Raid Dorms Cook,Smurfs",279,4,0,1,0,technical,low
2235,0.81,0.51,"Smurfs,Penalizing System,  Drug Design  ,  Penalizing System",271,2,0,0,0,sales,low
2236,0.97,0.83," SecCamp ,Raid Dorms Cook,WebCamp",238,2,0,0,0,support,medium
2237,0.93,0.94,"Smurfs,  Penalizing System,WebCamp,Farmy",233,6,0,0,0,IT,medium
2238,0.98,0.67,"Penalizing System,Smurfs,SecCamp ",190,10,0,0,0,IT,medium
2239,,0.84,"AiFest23,Salah lFrog, SecCamp ",237,2,0,0,0,technical,low
2240,0.36,0.56,"Raid Dorms Cook,Penalizing System",137,3,0,1,0,sales,low
2241,0.43,0.57,"SecCamp , SecCamp ",127,3,0,1,0,IT,low
2242,0.52,0.38,"AiFest23,Drug Design,Smurfs  ,WebCamp,Farmy,Smurfs",169,3,0,0,0,accounting,low
2243,0.18,0.84,"Drug Design,Penalizing System, SecCamp ,  Drug Design  ",231,5,0,0,0,sales,low
2244,0.45,0.57,"Raid Dorms Cook,SecCamp ",134,3,0,1,0,sales,low
2245,0.51,0.95,"Farmy,Raid Dorms Cook,AiFest23,  Penalizing System",258,3,0,0,0,hr,medium
2246,0.41,0.54,"Farmy,  Penalizing System",152,3,0,1,0,technical,low
2247,0.91,0.62,"SecCamp ,Penalizing System,Drug Design,AiFest23,WebCamp",169,4,0,0,0,management,medium
2248,0.73,0.71,"Smurfs  ,  AiFest23  ,AiFest23,  Drug Design  ",148,3,0,0,0,management,high
2249,0.54,0.74,"AiFest23,  Drug Design  ,SecCamp , SecCamp ",164,2,0,1,0,sales,low
2250,0.1,0.83,"Salah lFrog, SecCamp ,  Drug Design  ,Raid Dorms Cook,  Penalizing System,WebCamp",295,4,0,1,0,product_mng,medium
2251,0.6,0.89," SecCamp ,Raid Dorms Cook,Drug Design",167,4,0,0,0,RandD,medium
2252,,0.71,"Smurfs,Farmy,Salah lFrog",263,2,1,0,0,sales,medium
2253,0..95,0.81,"  AiFest23  ,Smurfs  ,Smurfs, SecCamp ",258,7,0,0,1,sales,medium
2254,0.58,0.77,"AiFest23,WebCamp,Raid Dorms Cook,Drug Design",140,3,0,0,0,RandD,low
2255,0.85,0.9,"Salah lFrog,WebCamp, SecCamp ",184,3,1,0,0,support,low
2256,,0.81,"WebCamp,Drug Design,Smurfs",174,3,0,0,0,technical,low
2257,0.59,0.49,"Salah lFrog,Penalizing System,  Drug Design  ,  Penalizing System,SecCamp ,Smurfs  ,Smurfs",263,4,0,1,0,technical,medium
2258,0.67,0.76,"Penalizing System,  AiFest23  ,Smurfs  ,  Drug Design  ,WebCamp",181,3,0,0,0,support,high
2259,0.82,0.51,"Salah lFrog,  Drug Design  ,Smurfs",234,3,0,0,0,sales,low
